,cNum,Title,Ratings
92,"93.
      Capernaum
(2018)",Capernaum,8.3
93,"94.
      The Hunt
(2012)",The Hunt,8.3
94,"95.
      Lawrence of Arabia
(1962)",Lawrence of Arabia,8.3
95,"96.
      Citizen Kane
(1941)",Citizen Kane,8.3
96,"97.
      M
(1931)",M,8.3
97,"98.
      North by Northwest
(1959)",North by Northwest,8.3
98,"99.
      Come and See
(1985)",Come and See,8.2
99,"100.
      Vertigo
(1958)",Vertigo,8.2
100,"101.
      Amélie
(2001)",Amélie,8.2
101,"102.
      A Clockwork Orange
(1971)",A Clockwork Orange,8.2
102,"103.
      Double Indemnity
(1944)",Double Indemnity,8.2
103,"104.
      Full Metal Jacket
(1987)",Full Metal Jacket,8.2
104,"105.
      The Apartment
(1960)",The Apartment,8.2
105,"106.
      Scarface
(1983)",Scarface,8.2
106,"107.
      Ikiru
(1952)",Ikiru,8.2
107,"108.
      The Sting
(1973)",The Sting,8.2
108,"109.
      To Kill a Mockingbird
(1962)",To Kill a Mockingbird,8.2
109,"110.
      Taxi Driver
(1976)",Taxi Driver,8.2
110,"111.
      Heat
(1995)",Heat,8.2
111,"112.
      Up
(2009)",Up,8.2
112,"113.
      L.A. Confidential
(1997)",L.A. Confidential,8.2
113,"114.
      Incendies
(2010)",Incendies,8.2
114,"115.
      Metropolis
(1927)",Metropolis,8.2
115,"116.
      A Separation
(2011)",A Separation,8.2
116,"117.
      Die Hard
(1988)",Die Hard,8.2
117,"118.
      Snatch
(2000)",Snatch,8.2
118,"119.
      Hamilton
(2020)",Hamilton,8.2
119,"120.
      Indiana Jones and the Last Crusade
(1989)",Indiana Jones and the Last Crusade,8.2
120,"121.
      Bicycle Thieves
(1948)",Bicycle Thieves,8.2
121,"122.
      1917
(2019)",1917,8.2
122,"123.
      Like Stars on Earth
(2007)",Like Stars on Earth,8.2
123,"124.
      Downfall
(2004)",Downfall,8.2
124,"125.
      For a Few Dollars More
(1965)",For a Few Dollars More,8.2
125,"126.
      Batman Begins
(2005)",Batman Begins,8.2
126,"127.
      Dangal
(2016)",Dangal,8.2
127,"128.
      The Kid
(1921)",The Kid,8.2
128,"129.
      Some Like It Hot
(1959)",Some Like It Hot,8.2
129,"130.
      All About Eve
(1950)",All About Eve,8.2
130,"131.
      The Father
(2020)",The Father,8.2
131,"132.
      Green Book
(2018)",Green Book,8.2
132,"133.
      The Wolf of Wall Street
(2013)",The Wolf of Wall Street,8.2
133,"134.
      Judgment at Nuremberg
(1961)",Judgment at Nuremberg,8.2
134,"135.
      Spider-Man: No Way Home
(2021)",Spider-Man: No Way Home,8.2
135,"136.
      Ran
(1985)",Ran,8.2
136,"137.
      Casino
(1995)",Casino,8.2
137,"138.
      Unforgiven
(1992)",Unforgiven,8.2
138,"139.
      Pan's Labyrinth
(2006)",Pan's Labyrinth,8.2
139,"140.
      There Will Be Blood
(2007)",There Will Be Blood,8.2
140,"141.
      The Truman Show
(1998)",The Truman Show,8.2
141,"142.
      The Sixth Sense
(1999)",The Sixth Sense,8.2
142,"143.
      A Beautiful Mind
(2001)",A Beautiful Mind,8.2
143,"144.
      Monty Python and the Holy Grail
(1975)",Monty Python and the Holy Grail,8.2
144,"145.
      Yojimbo
(1961)",Yojimbo,8.1
145,"146.
      The Treasure of the Sierra Madre
(1948)",The Treasure of the Sierra Madre,8.1
146,"147.
      Shutter Island
(2010)",Shutter Island,8.1
147,"148.
      Jurassic Park
(1993)",Jurassic Park,8.1
148,"149.
      Rashomon
(1950)",Rashomon,8.1
149,"150.
      The Great Escape
(1963)",The Great Escape,8.1
150,"151.
      Kill Bill: Vol. 1
(2003)",Kill Bill: Vol. 1,8.1
151,"152.
      No Country for Old Men
(2007)",No Country for Old Men,8.1
152,"153.
      Finding Nemo
(2003)",Finding Nemo,8.1
153,"154.
      The Elephant Man
(1980)",The Elephant Man,8.1
154,"155.
      Chinatown
(1974)",Chinatown,8.1
155,"156.
      Raging Bull
(1980)",Raging Bull,8.1
156,"157.
      The Thing
(1982)",The Thing,8.1
157,"158.
      Gone with the Wind
(1939)",Gone with the Wind,8.1
158,"159.
      V for Vendetta
(2005)",V for Vendetta,8.1
159,"160.
      Inside Out
(2015)",Inside Out,8.1
160,"161.
      Lock, Stock and Two Smoking Barrels
(1998)","Lock, Stock and Two Smoking Barrels",8.1
161,"162.
      Dial M for Murder
(1954)",Dial M for Murder,8.1
162,"163.
      The Secret in Their Eyes
(2009)",The Secret in Their Eyes,8.1
163,"164.
      Howl's Moving Castle
(2004)",Howl's Moving Castle,8.1
164,"165.
      The Bridge on the River Kwai
(1957)",The Bridge on the River Kwai,8.1
165,"166.
      Three Billboards Outside Ebbing, Missouri
(2017)","Three Billboards Outside Ebbing, Missouri",8.1
166,"167.
      Trainspotting
(1996)",Trainspotting,8.1
167,"168.
      Warrior
(2011)",Warrior,8.1
168,"169.
      Gran Torino
(2008)",Gran Torino,8.1
169,"170.
      Fargo
(1996)",Fargo,8.1
170,"171.
      Prisoners
(2013)",Prisoners,8.1
171,"172.
      My Neighbor Totoro
(1988)",My Neighbor Totoro,8.1
172,"173.
      Million Dollar Baby
(2004)",Million Dollar Baby,8.1
173,"174.
      Catch Me If You Can
(2002)",Catch Me If You Can,8.1
174,"175.
      The Gold Rush
(1925)",The Gold Rush,8.1
175,"176.
      Blade Runner
(1982)",Blade Runner,8.1
176,"177.
      On the Waterfront
(1954)",On the Waterfront,8.1
177,"178.
      Children of Heaven
(1997)",Children of Heaven,8.1
178,"179.
      The Third Man
(1949)",The Third Man,8.1
179,"180.
      Before Sunrise
(1995)",Before Sunrise,8.1
180,"181.
      Ben-Hur
(1959)",Ben-Hur,8.1
181,"182.
      12 Years a Slave
(2013)",12 Years a Slave,8.1
182,"183.
      Wild Strawberries
(1957)",Wild Strawberries,8.1
183,"184.
      Harry Potter and the Deathly Hallows: Part 2
(2011)",Harry Potter and the Deathly Hallows: Part 2,8.1
184,"185.
      Gone Girl
(2014)",Gone Girl,8.1
185,"186.
      The General
(1926)",The General,8.1
186,"187.
      The Deer Hunter
(1978)",The Deer Hunter,8.1
187,"188.
      In the Name of the Father
(1993)",In the Name of the Father,8.1
188,"189.
      The Grand Budapest Hotel
(2014)",The Grand Budapest Hotel,8.1
189,"190.
      Barry Lyndon
(1975)",Barry Lyndon,8.1
190,"191.
      Mr. Smith Goes to Washington
(1939)",Mr. Smith Goes to Washington,8.1
191,"192.
      The Wages of Fear
(1953)",The Wages of Fear,8.1
192,"193.
      Hacksaw Ridge
(2016)",Hacksaw Ridge,8.1
193,"194.
      Sherlock Jr.
(1924)",Sherlock Jr.,8.1
194,"195.
      Memories of Murder
(2003)",Memories of Murder,8.1
195,"196.
      Klaus
(2019)",Klaus,8.1
196,"197.
      Wild Tales
(2014)",Wild Tales,8.1
197,"198.
      Everything Everywhere All at Once
(2022)",Everything Everywhere All at Once,8.1
198,"199.
      The Seventh Seal
(1957)",The Seventh Seal,8.1
199,"200.
      Room
(2015)",Room,8.1
200,"201.
      Mad Max: Fury Road
(2015)",Mad Max: Fury Road,8.1
201,"202.
      How to Train Your Dragon
(2010)",How to Train Your Dragon,8.1
202,"203.
      The Big Lebowski
(1998)",The Big Lebowski,8.1
203,"204.
      Mary and Max
(2009)",Mary and Max,8.1
204,"205.
      Jaws
(1975)",Jaws,8.1
205,"206.
      Monsters, Inc.
(2001)","Monsters, Inc.",8.1
206,"207.
      Tokyo Story
(1953)",Tokyo Story,8.1
207,"208.
      Dead Poets Society
(1989)",Dead Poets Society,8.1
208,"209.
      The Passion of Joan of Arc
(1928)",The Passion of Joan of Arc,8.1
209,"210.
      Hotel Rwanda
(2004)",Hotel Rwanda,8.1
210,"211.
      Rocky
(1976)",Rocky,8.0
211,"212.
      Ford v Ferrari
(2019)",Ford v Ferrari,8.0
212,"213.
      Platoon
(1986)",Platoon,8.0
213,"214.
      Pather Panchali
(1955)",Pather Panchali,8.0
214,"215.
      Stand by Me
(1986)",Stand by Me,8.0
215,"216.
      The Terminator
(1984)",The Terminator,8.0
216,"217.
      Spotlight
(2015)",Spotlight,8.0
217,"218.
      Rush
(2013)",Rush,8.0
218,"219.
      Logan
(2017)",Logan,8.0
219,"220.
      Network
(1976)",Network,8.0
220,"221.
      Ratatouille
(2007)",Ratatouille,8.0
221,"222.
      Into the Wild
(2007)",Into the Wild,8.0
222,"223.
      The Wizard of Oz
(1939)",The Wizard of Oz,8.0
223,"224.
      Groundhog Day
(1993)",Groundhog Day,8.0
224,"225.
      Before Sunset
(2004)",Before Sunset,8.0
225,"226.
      The Exorcist
(1973)",The Exorcist,8.0
226,"227.
      The Best Years of Our Lives
(1946)",The Best Years of Our Lives,8.0
227,"228.
      The Incredibles
(2004)",The Incredibles,8.0
228,"229.
      To Be or Not to Be
(1942)",To Be or Not to Be,8.0
229,"230.
      The Grapes of Wrath
(1940)",The Grapes of Wrath,8.0
230,"231.
      The Battle of Algiers
(1966)",The Battle of Algiers,8.0
231,"232.
      Rebecca
(1940)",Rebecca,8.0
232,"233.
      Hachi: A Dog's Tale
(2009)",Hachi: A Dog's Tale,8.0
233,"234.
      Cool Hand Luke
(1967)",Cool Hand Luke,8.0
234,"235.
      Pirates of the Caribbean: The Curse of the Black Pearl
(2003)",Pirates of the Caribbean: The Curse of the Black Pearl,8.0
235,"236.
      Amores perros
(2000)",Amores perros,8.0
236,"237.
      La Haine
(1995)",La Haine,8.0
237,"238.
      Jai Bhim
(2021)",Jai Bhim,8.0
238,"239.
      My Father and My Son
(2005)",My Father and My Son,8.0
239,"240.
      The 400 Blows
(1959)",The 400 Blows,8.0
240,"241.
      Persona
(1966)",Persona,8.0
241,"242.
      It Happened One Night
(1934)",It Happened One Night,8.0
242,"243.
      The Sound of Music
(1965)",The Sound of Music,8.0
243,"244.
      Life of Brian
(1979)",Life of Brian,8.0
244,"245.
      The Handmaiden
(2016)",The Handmaiden,8.0
245,"246.
      Dersu Uzala
(1975)",Dersu Uzala,8.0
246,"247.
      Aladdin
(1992)",Aladdin,8.0
247,"248.
      Gandhi
(1982)",Gandhi,8.0
248,"249.
      The Help
(2011)",The Help,8.0
249,"250.
      The Iron Giant
(1999)",The Iron Giant,8.0
